id,title,description,primary_category,secondary_category,summary,Project URL
1,Lightning Network enabled Vending Machine,"Vue.js application for accepting Bitcoin Lightning payments, using the OpenNode API, and notifying the iozeta CryptoVend.",FinTech (Financial Technology),IoT (Internet of Things),"A Vue.js application enables a vending machine to accept Bitcoin Lightning payments through the OpenNode API and notifies the iozeta CryptoVend, integrating financial technology with internet-connected devices.",https://devpost.com/software/cryptovend-tablet-ui
2,Email Notifications Digest,Group JIRA email notifications and send them as a digest at a scheduled date/time,Web Apps,Data Science/Analytics,"The Email Notifications Digest project involves grouping JIRA email notifications and sending them as a digest at a scheduled date/time, utilizing web application development and data analytics to streamline communication and enhance user experience.",https://devpost.com/software/email-notifications-digest
3,Cognitonic Travel Bubble Management System,A unique solution to help countries to minimize the health and economy impact due to Covid-19 by allowing them to configure and manage controlled international and domestic travel bubbles.,GovTech,Bio-Tech/Health-Tech,"The Cognitonic Travel Bubble Management System helps countries minimize Covid-19's health and economic impact by managing controlled international and domestic travel bubbles, configuring and implementing a unique solution to mitigate the pandemic's effects.",https://devpost.com/software/cognitonic-travel-bubble-management-system
4,classcript,Breathe intelligence into your lectures,EduTech (Educational Technology),AI/Artificial Intelligence,"Classcript is a project that aims to bring intelligence to lectures, likely using AI to enhance the educational experience, making it a prime example of EduTech with AI capabilities.",https://devpost.com/software/soundclass
5,Hootchat,Mobile social media integrated app with push notification and real time interaction with the user' contacts.,Mobile Apps,Social Impact,"Hootchat is a mobile social media app with real-time interaction and push notifications, allowing users to connect with contacts, providing a social platform for interaction and community building.",https://devpost.com/software/hootchat
6,Crypto Cannabis,Crypto Cannabis Grow seed to sale ledgering dapp is built on Tron's Blockchain. CCG DApp is operational for licensed cannabis dispensary use case globally where medically legalized by government law.,Blockchain/Web3,Bio-Tech/Health-Tech,"Crypto Cannabis is a blockchain-based dapp for licensed cannabis dispensaries, utilizing Tron's Blockchain for seed-to-sale ledgering, operational in regions where cannabis is medically legalized.",https://devpost.com/software/crypto-cannabis-8pds4f
7,RESERVED,A booking system but better!,Web Apps,Mobile Apps,"A booking system is being developed to improve upon existing solutions, likely involving online platform development, with potential mobile app integration for user convenience.",https://devpost.com/software/reserved
8,DinoJourney,Your guilt-free path to well-being.,Bio-Tech/Health-Tech,Mobile Apps,"DinoJourney is a guilt-free path to well-being, implying a health-focused project, potentially a mobile app, promoting user wellness.",https://devpost.com/software/dinojourney
9,DiscordSecure,"A security solution facilitating log streaming from Discord to Sentinel, providing enhanced threat detection and automated response capabilities",Cybersecurity,Data Science/Analytics,"DiscordSecure is a security solution that streams logs from Discord to Sentinel, enhancing threat detection and automated response. It provides a security solution for improved incident response and threat detection, utilizing data analytics for a safer Discord experience.",https://devpost.com/software/discordsecure
10,webDAST,What do we think scientists look like?,Digital Art,Social Impact,"The webDAST project explores societal perceptions of scientists, potentially using art and technology to challenge stereotypes and promote positive change, aiming to inspire new representations of scientists in the digital age, fostering a more inclusive understanding of the scientific community.",https://devpost.com/software/webdast
11,Island Slide Puzzle,Super nicely looking animated slide puzzle,Game Development,Digital Art,"The Island Slide Puzzle is a visually appealing animated slide puzzle with a nice look, likely developed for entertainment purposes, combining game development and digital art elements.",https://devpost.com/software/beautiful-puzzle
12,Re-use plant for single use gloves and mask,We plan to solve the problem of worldwide shortage of single use masks and gloves and aim to make them available for all.,Bio-Tech/Health-Tech,Supply Chain/Logistics,"The project aims to solve the global shortage of single-use masks and gloves by developing a re-use plant, making them available for all, and addressing a critical healthcare need through improved supply chain management.",https://devpost.com/software/re-use-plant-for-single-use-gloves-and-mask
13,Shape Grabber,In this project you have to collect shapes.,Game Development,Digital Art,"The Shape Grabber project involves collecting shapes, suggesting a interactive and visual experience, likely in a game or digital art context, where users engage with geometric forms in a creative or challenging way.",https://devpost.com/software/shape-grabber
14,Trading in XR with pico,"Trading in virtual reality . with MR,  Convert your Room into a dynamic trading hub. with Infinite monitors, immersive analytics tools, and interactive widgets with pure flexibility.",Virtual Reality (VR),FinTech (Financial Technology),"The project involves creating a dynamic trading hub in virtual reality, utilizing MR and immersive analytics tools, to convert any room into a trading space with infinite monitors and interactive widgets, enhancing the trading experience with flexibility and interactivity.",https://devpost.com/software/trading-with-pico-reality
15,Inner County Outbreak Detection,Avoid risky areas with our sub-county level outbreak detection heat map.,Bio-Tech/Health-Tech,Geospatial Data/GIS,"The Inner County Outbreak Detection project uses a sub-county level outbreak detection heat map to help avoid risky areas, utilizing geospatial data and health-tech to inform users of potential health risks, promoting public health and safety through data-driven insights and mapping.",https://devpost.com/software/covid-19-outbreak-detection-team-5-0b2ngu
16,Pinky Friends,"We join together as friends to spread the awareness of breast cancer, early screening after 1 year of birth to baby and will make the country free from cancer",Social Impact,Bio-Tech/Health-Tech,"Pinky Friends aims to spread breast cancer awareness and promote early screening, striving for a cancer-free country, focusing on health education and social impact.",https://devpost.com/software/pinky-friends
17,Learning Expedition (LEX),"Platform for virtual internships, projects and challenges through which students can develop professional skills, work in teams and get industry experience while studying online",EduTech (Educational Technology),Web Apps,"The Learning Expedition (LEX) is a virtual platform for students to develop professional skills through internships, projects, and challenges, providing industry experience while studying online, focusing on education and skill development.",https://devpost.com/software/lex-qo8c6r
18,StaySafe - Digital Assistant,Your digital pandemic isloation assistant which improves your life during self-isolation by connecting people who need help with the people who want to help in a sustainable way,Social Impact,AI/Artificial Intelligence,"StaySafe is a digital assistant that connects people in need with helpers during self-isolation, improving lives sustainably, utilizing AI for a social cause.",https://devpost.com/software/staysafe-70odu2
19,Pega Special Purpose Business Loan,"The solution equips small Lenders to gain instant burst capacity & customer trust by expediting the Special Loan Origination process with high accuracy, while adhering to required federal regulations.",FinTech (Financial Technology),Cloud Computing,"The Pega Special Purpose Business Loan solution expedites the loan origination process for small lenders, ensuring high accuracy and adherence to federal regulations, thereby gaining customer trust and instant burst capacity, utilizing financial technology to streamline the process.",https://devpost.com/software/test-xjtrhi
20,COVID Warriors,The project aims at deploying a ML and deep learning based model for object detection using SSD and Yolov3.,AI/Artificial Intelligence,Machine Learning (ML),"The COVID Warriors project utilizes ML and deep learning for object detection using SSD and Yolov3, aiming to deploy a model for detection tasks, leveraging AI and ML techniques for accurate results.",https://devpost.com/software/covid-warriors-pvkqs3
